Fahrenheit     Celsius     Kelvin     Rankine     
0.000          -17.778     255.372    459.670     
5.000          -15.000     258.150    464.670     
10.000         -12.222     260.928    469.670     
15.000         -9.444      263.706    474.670     
20.000         -6.667      266.483    479.670     
25.000         -3.889      269.261    484.670     
30.000         -1.111      272.039    489.670     
35.000         1.667       274.817    494.670     
40.000         4.444       277.594    499.670     
45.000         7.222       280.372    504.670     
50.000         10.000      283.150    509.670     
55.000         12.778      285.928    514.670     
60.000         15.556      288.706    519.670     
65.000         18.333      291.483    524.670     
70.000         21.111      294.261    529.670     
75.000         23.889      297.039    534.670     
80.000         26.667      299.817    539.670     
85.000         29.444      302.594    544.670     
90.000         32.222      305.372    549.670     
95.000         35.000      308.150    554.670     
100.000        37.778      310.928    559.670     
